nct_id,title,acronym,status,study_results,conditions,interventions,outcome_measures,sponsors,gender,min_age,max_age,age_groups,phases,enrollment,funded_bys,study_types,exp_acc_types,study_designs,other_ids,start_date,primary_completion_date,completion_date,study_first_posted,last_update_posted,locations,documents,url
NCT04372602,Duvelisib to Combat COVID-19, ,Recruiting,No Results Available,COVID-19,Duvelisib|Peripheral blood draw|Placebo,Overall survival|Length of hospital stay|Length of ICU stay|Duration of ventilator use|Duration of vasopressors use|Duration on renal replacement therapy|Viral kinetics as measured by virologic failure|Number of adverse events as measured by CTCAE v. 5.0,"Washington University School of Medicine|Verastem, Inc.",All,18 Years, ,Adult|Older Adult,Phase 2,28,Other|Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",202007009,"October 12, 2020","November 30, 2021","April 30, 2022","May 4, 2020","May 25, 2021","Missouri Baptist Medical Center, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States", ,https://ClinicalTrials.gov/show/NCT04372602
NCT04902157,Relationship Between CT- Value With Prognosis in COVID-19 Patients, ,Recruiting,No Results Available,COVID-19,Cycle threshold,prognosis,Shahid Beheshti University of Medical Sciences,All, , ,Child|Adult|Older Adult, ,60,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,SBMU.34.675,"February 1, 2021","January 1, 2022","February 1, 2022","May 26, 2021","May 26, 2021","SBMU, Tehran, Iran, Islamic Republic of|Nooshin Dalili, Tehran, Iran, Islamic Republic of", ,https://ClinicalTrials.gov/show/NCT04902157
NCT04364698,Observational Cohort of COVID-19 Patients at Raymond-Poincare,COVID-RPC,Recruiting,No Results Available,COVID-19, ,"clinical, biological and radiological characteristics|patients' journey description|Treatments effects",Assistance Publique - Hôpitaux de Paris,All,18 Years, ,Adult|Older Adult, ,500,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,20SBS-COVID-RPC,"May 7, 2020",June 2020,June 2020,"April 28, 2020","May 14, 2020","Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France", ,https://ClinicalTrials.gov/show/NCT04364698
NCT04459637,COVID-19 Surveillance Based on Smart Wearable Device,COVID-19SWD,Not yet recruiting,No Results Available,COVID-19, ,"Deterioration of the condition|Mortality|The information analysis degree, the proportion of signal loss, the proportion of wrong signal,",Peking University First Hospital,All,18 Years,75 Years,Adult|Older Adult, ,200,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,2020055-0615,"July 1, 2020","March 10, 2021","March 10, 2021","July 7, 2020","July 7, 2020","Peking University First Hospital, Beijing, Beijing, China", ,https://ClinicalTrials.gov/show/NCT04459637
NCT04425538,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19)., ,Completed,Has Results,COVID-19,Infliximab,Time to Improvement in Oxygenation|Incidence of Improvement in Oxygenation|28-Day Survival Status|Duration of Supplemental Oxygen Administration by Nasal Cannula|Duration of Non-invasive Ventilation or by Non-rebreather Mask or High-flow Nasal Cannula|Incidence of Mechanical Ventilation|Incidence of Vasopressor Support|Incidence of Extracorporeal Membrane Oxygenation|Incidence of Fever|Correlation of Cytokine Profile to Clinical Outcomes Specified in Primary and Secondary Objectives|Duration of Hospitalization|Incidence of Secondary Infections|Incidence of Supplemental Oxygen Administration by Nasal Cannula|Duration of Mechanical Ventilation|Incidence of Non-invasive Ventilation or by Non-rebreather Mask or High-flow Nasal Cannula|Assessment of Cytokine and Inflammatory Profile at Baseline and at 48 Hours After Therapy,Tufts Medical Center|National Institutes of Health (NIH),All,18 Years, ,Adult|Older Adult,Phase 2,17,Other|NIH,Interventional, ,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00000564,"June 1, 2020","January 22, 2021","January 22, 2021","June 11, 2020","December 3, 2021","December 3, 2021","Tufts Medical Center, Boston, Massachusetts, United States","
        |Study Protocol and Statistical Analysis Plan|https://ClinicalTrials.gov/ProvidedDocs/38/NCT04425538/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04425538
NCT05175846,INFLAMmatory BiomarkErs in COVID-19 Participants and Severity of Disease,INFLAME COVID,Not yet recruiting,No Results Available,COVID-19, ,To identify immunological and inflammatory biomarkers in participants with and without COVID-19 that may predict a participant's potential risk for severity of disease.|To correlate the biomarkers at baseline with the duration of symptoms up to six months in participants who develop COVID-19.,"Trinitas Global, LLC|AccessDx Laboratories, Houston, TX",All,18 Years, ,Adult|Older Adult, ,60,Industry|Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,001,January 2022,"June 30, 2022","January 31, 2023","January 4, 2022","January 19, 2022","St Francis Hospital, Wilmington, Delaware, United States", ,https://ClinicalTrials.gov/show/NCT05175846
NCT05003271,Pulmonary Rehabilitation Post-COVID-19, ,Not yet recruiting,No Results Available,COVID-19,Exercise program (virtual/remote),Change in lung capacity|Change in dyspnea|Change in fatigue|Change in exercise capacity|Change in post-exercise saturation|Change in physical function|Change in activities participation|Changes in health-related quality of life (HRQoL) assessed with the EQ-5D-5L|Changes in health-related quality of life (HRQoL) assessed with the Short form (SF)-36 questionnaire,"University of Manitoba|Health Sciences Centre Foundation, Manitoba|Health Sciences Centre, Winnipeg, Manitoba",All,18 Years, ,Adult|Older Adult,Not Applicable,24,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HS25183(B2021:101),October 2021,May 2022,July 2022,"August 12, 2021","October 7, 2021", , ,https://ClinicalTrials.gov/show/NCT05003271
NCT04547257,Safety & Effectiveness Evaluation of Seraph 100 in Treatment of Pts With COVID-19,CP022,Recruiting,No Results Available,COVID-19,Seraph 100,Change in Organ failure|Change in Organ Failure|All-cause mortality|Organ dysfunction-free days|Intensive Care Unit (ICU) complications|Ventilator-free days (VFDs)|Length of stay (LOS) at ICU and hospital ward|Prognosis Factors|Recurrence of sepsis|Persistence of sepsis,ExThera Medical Europe BV|ExThera Medical Corporation|Vivantes Klinikum Neukölln,All,18 Years,90 Years,Adult|Older Adult,Not Applicable,42,Industry|Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CP022,"May 4, 2021","July 31, 2022","December 31, 2022","September 14, 2020","January 6, 2022","Klinikum Aschaffenburg-Alzenau, Aschaffenburg, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Essen, Essen, Germany|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinico San Carlos, Madrid, Spain", ,https://ClinicalTrials.gov/show/NCT04547257
NCT04454307,Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients, ,Not yet recruiting,No Results Available,COVID-19,Tramadol|Standard care delivered in the isolation hospitals.,Number of COVID-19 PCR negative cases,Tanta University,All,18 Years,65 Years,Adult|Older Adult,Phase 1|Phase 2,100,Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",TRAM/COVID19,July 2020,August 2020,October 2020,"July 1, 2020","July 2, 2020", , ,https://ClinicalTrials.gov/show/NCT04454307
NCT04452435,Safety and Efficacy of C21 in Subjects With COVID-19, ,Completed,Has Results,COVID-19,C21|Placebo,Change From Baseline in C-reactive Protein (CRP) After Treatment With C21 200 mg Daily Dose (100 mg b.i.d.)|Change From Baseline in Body Temperature|Change From Baseline in IL-6|Change From Baseline in IL-10|Change From Baseline in TNF|Change From Baseline in CA125|Change From Baseline in Ferritin|Number of Subjects Not in Need of Oxygen Supply|Number of Subjects Not in Need of Mechanical Invasive or Non-invasive Ventilation|Time to Need of Mechanical Invasive or Non-invasive Ventilation|Time on Oxygen Supply (for Those Not Needing Mechanical Invasive or Non-invasive Ventilation)|Adverse Events,Vicore Pharma AB|Orphan Reach,All,18 Years,70 Years,Adult|Older Adult,Phase 2,206,Industry|Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",VP-C21-006|2020-001502-38,"July 21, 2020","October 13, 2020","October 13, 2020","June 30, 2020","April 30, 2021","June 23, 2021","Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom","
        |Study Protocol and Statistical Analysis Plan: Study Protocol|https://ClinicalTrials.gov/ProvidedDocs/35/NCT04452435/Prot_SAP_000.pdf|
        |Statistical Analysis Plan: Statistical Analysis Plan|https://ClinicalTrials.gov/ProvidedDocs/35/NCT04452435/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04452435
